,Time,Station,Temperature
372,1962-12-01,AMUNDSEN-SCOT,-37.0
373,1962-12-01,HALLEY,-16.3
374,1962-12-01,ROTHERA POINT,-0.6
375,1962-12-01,NOVOLAZAREVSK,-5.9
376,1962-12-01,MCMURDO,-7.7
377,1963-01-01,AMUNDSEN-SCOT,-29.5
378,1963-01-01,HALLEY,-7.9
379,1963-01-01,ROTHERA POINT,2.3
380,1963-01-01,NOVOLAZAREVSK,-1.8
381,1963-01-01,MCMURDO,-4.9
382,1963-02-01,AMUNDSEN-SCOT,-28.4
383,1963-02-01,HALLEY,-5.9
384,1963-02-01,ROTHERA POINT,2.7
385,1963-02-01,NOVOLAZAREVSK,-1.3
386,1963-02-01,MCMURDO,-4.1
387,1963-03-01,AMUNDSEN-SCOT,-40.8
388,1963-03-01,HALLEY,-12.5
389,1963-03-01,ROTHERA POINT,2.9
390,1963-03-01,NOVOLAZAREVSK,-4.6
391,1963-03-01,MOLODEZNAJA,-3.8
392,1963-03-01,VOSTOK,-45.3
393,1963-03-01,MCMURDO,-9.6
394,1963-04-01,AMUNDSEN-SCOT,-53.8
395,1963-04-01,HALLEY,-15.2
396,1963-04-01,ROTHERA POINT,-1.1
397,1963-04-01,NOVOLAZAREVSK,-10.3
398,1963-04-01,MOLODEZNAJA,-10.6
399,1963-04-01,VOSTOK,-59.3
400,1963-04-01,MCMURDO,-22.8
401,1963-05-01,AMUNDSEN-SCOT,-60.2
402,1963-05-01,HALLEY,-23.5
403,1963-05-01,NOVOLAZAREVSK,-17.3
404,1963-05-01,SYOWA,-11.4
405,1963-05-01,MOLODEZNAJA,-11.4
406,1963-05-01,VOSTOK,-64.3
407,1963-05-01,MCMURDO,-20.6
408,1963-06-01,AMUNDSEN-SCOT,-55.0
409,1963-06-01,HALLEY,-27.2
410,1963-06-01,ROTHERA POINT,-3.0
411,1963-06-01,NOVOLAZAREVSK,-14.2
412,1963-06-01,MOLODEZNAJA,-14.3
413,1963-06-01,VOSTOK,-66.0
414,1963-06-01,MCMURDO,-26.9
415,1963-07-01,AMUNDSEN-SCOT,-54.2
416,1963-07-01,HALLEY,-26.7
417,1963-07-01,ROTHERA POINT,-5.1
418,1963-07-01,NOVOLAZAREVSK,-13.8
419,1963-07-01,MOLODEZNAJA,-12.2
420,1963-07-01,VOSTOK,-64.9
421,1963-07-01,MCMURDO,-22.3
422,1963-08-01,AMUNDSEN-SCOT,-58.8
423,1963-08-01,HALLEY,-27.1
424,1963-08-01,ROTHERA POINT,-7.6
425,1963-08-01,NOVOLAZAREVSK,-18.1
426,1963-08-01,MOLODEZNAJA,-18.7
427,1963-08-01,VOSTOK,-64.0
428,1963-08-01,MCMURDO,-26.5
429,1963-09-01,AMUNDSEN-SCOT,-53.7
430,1963-09-01,HALLEY,-21.1
431,1963-09-01,ROTHERA POINT,-16.5
432,1963-09-01,NOVOLAZAREVSK,-14.4
433,1963-09-01,MOLODEZNAJA,-16.5
434,1963-09-01,VOSTOK,-63.7
435,1963-09-01,MCMURDO,-25.8
436,1963-10-01,AMUNDSEN-SCOT,-53.7
437,1963-10-01,HALLEY,-26.4
438,1963-10-01,ROTHERA POINT,-7.9
439,1963-10-01,NOVOLAZAREVSK,-16.0
440,1963-10-01,MOLODEZNAJA,-14.0
441,1963-10-01,VOSTOK,-57.5
442,1963-10-01,MCMURDO,-20.9
443,1963-11-01,AMUNDSEN-SCOT,-50.2
444,1963-11-01,HALLEY,-23.1
445,1963-11-01,ROTHERA POINT,-6.1
